,question,answer,generator
268,How can you implement a queue with a list?,"Use a linked list, adding at the tail and removing from the head.",ai_generated
269,What is the inorder traversal of a binary tree?,"Visit left subtree, then the node, then right subtree.",ai_generated
270,What is a recursive function?,A function that calls itself.,human
271,What is the main advantage of linked lists over arrays?,"Easy insertion and deletion without shifting elements, and dynamic size.",ai_generated
272,What is the main advantage of linked lists over arrays?,The linked lists can be of variable length.,human
273,What does the star (*) operator return?,An alias (synonym) for the name of the object that its operand points to in memory. It is the dereferencing operator.,human
274,What is a leaf?,A node that has no children.,human
275,What are the two main functions defined by a queue?,enqueue (add an element) and dequeue (remove the front element).,ai_generated
276,Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),human
277,Briefly describe in one sentence how does merge sort work?,"It splits the array in half, recursively sorts each half, then merges the two sorted halves.",ai_generated
278,How can you implement a queue with an array?,"Use an array with front and rear indices, often as a circular buffer.",ai_generated
279,What does a function signature include?,The function name plus the number and types of its parameters.,ai_generated
280,What are the two main functions defined by a queue?,enqueue and dequeue,human
281,When does C++ create a default constructor?,When the class does not explicitly include a constructor.,human
282,"In one sentence, what is the main idea implemented by selection sort?",Selection sort is an algorithm that selects the larges item the array and puts it in its place; then select the next largest until the array is sorted,human
283,What is a stack?,"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",human
284,"In one sentence, what is the main idea implemented by insertion sort?","Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left.",human
285,What is a variable?,A named storage location in memory that holds a value which can change during program execution.,ai_generated
286,What is the alternative way to solve a problem that could be solved through recursive functions?,Iteration by using loops,human
287,What are the elements typically included in a class definition?,"Data members, functions and function definitions, variables.",human
288,Briefly describe in one sentence how does merge sort work?,Merge sort continuously breaks an array in half then sorts the arrays as it concatenates them back together into one sorted array.,human
289,What are the access-specifiers that can be used in a C++ class definition?,public and private,human
290,What is a function pointer?,"A function pointer contains the memory address of a function. Using a function pointer, a function can be passed to or returned by another function. Function pointers can also be stored in arrays.",human
291,What does the address (&) operator return?,The memory address of its operand.,human
292,How many constructors can be created for a class?,As many as the programmer wants to create.,human
293,What is the difference between a data member and a local variable inside a member function?,A data member belongs to the object and persists between function calls; a local variable exists only while its function runs.,ai_generated
294,What is a queue?,"a queue is a list of data that follows the fifo principle, an example of this would be when you get into a line at a movie theater...the first one there gets to buy a ticket first",human
295,What are the elements typically included in a class definition?,"Constructor, functions, and variables native to the class.",human
296,What is the difference between a constructor and a function?,A constructor initializes an object and has no return type; a function has a return type and can be called any time.,ai_generated
297,"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",N (the length of the array) operations achieved for a sorted array.,human
298,How are linked lists passed as arguments to a function?,- A function with access to a linked list's head pointer has access to the entire list.<br><br>      - Pass the head ponter to a function as a reference argument.,human
299,What is a pointer?,its a data type with a memory address and a value,human
300,How are overloaded functions differentiated by the compiler?,"By the number, type, and order of their parameters, not by return type.",ai_generated
301,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","List-based, because when you enqueue (or dequeue depending upon your implementation) you would need to shift all elements to another space with an array, causing a horrid time complexity for large data sets, where as you can just modify the pointers in a list for a constant time complexity",human
302,"Briefly, how does selection sort work?",It repeatedly selects the smallest remaining element and swaps it into its correct position.,ai_generated
303,What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char[]?,"When you read a string of characters, you also read in the white space.  When you read characters declared char you only read the characters, no white space.",human
304,What is a recursive function?,A function that calls itself to solve smaller instances of the same problem.,ai_generated
305,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,human
306,What are the main advantages associated with object-oriented programming?,Using different modules allows for easier debugging,human
307,What are the different ways to pass a pointer to a function?,pass by value and pass by reference with reference or pointer arguments.,human
308,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,human
309,How many steps does it take to search a node in a binary search tree?,The height of the tree.,human
310,How do you delete a node from a binary search tree?,"Find the node, then replace it with its in-order successor (or predecessor) and remove that successor from its original spot.",ai_generated
311,How many constructors can be created for a class?,Unlimited number.,human
312,"Which implementation (array-based vs. list-based) is preferred, and why?",List-based.  Allows more flexablity with size of the stack.,human
313,What are the similarities between iteration and recursion?,"Iteration and recursion both use repetition and perform several simple operations and algorithms successively until they reach a certain limit.  So both involve a termination test to find that limit and both slowly approach that termination limit.  Both are based on a control statement as well.  <br><br>If coded poorly, both can continue on for forever until the compiler or the computer either locks up, shuts down or halts the operation.",human
314,What are the access-specifiers that can be used in a C++ class definition?,public - can be accessed by any of the program<br><br>private - can only be accessed by the class functions themselves and no outside functions or calls,human
315,What is the main advantage of arrays over linked lists?,"The elements in an array can be accessed directly (as opposed to linked lists, which require iterative traversal).",human
316,Where do C++ programs begin to execute?,At the main function.,human
317,How can you implement a queue with a list?,"fairly easy... singly linked list with a pointer to the head and tail of hte list.<br><br>deque first item in que, create temp pointer to next element, delete head, and then make head the temporary pointer.<br><br>enque new item, use pointer to end of list, add a new item to the next item of the tail, and make the tail the next item of the current tail.",human
318,What is the stack operation corresponding to the enqueue operation in queues?,push.,ai_generated
319,When does C++ create a default constructor?,"at the very beginning when you run a complier, matter a fact in C++ it generates its own default constructor for the class provided if no other constructors have been provided by user",human
320,What are the two different ways of specifying the length of an array?,"A constant/literal value, or a constant variable, in the array declaration.",ai_generated
321,"In one sentence, what is the main idea implemented by selection sort?","Taking one array element at a time, from left to right, it identifies the minimum from the remaining elements and swaps it with the current element.",human
322,What is a function pointer?,"A pointer that stores the address of a function, allowing the function to be called indirectly.",ai_generated
323,What are the main advantages associated with object-oriented programming?,"Code reuse through inheritance, better data protection through encapsulation, and easier maintenance through modularity.",ai_generated
324,What is a queue?,A data structure where elements are added at one end and removed from the other (FIFO).,ai_generated
325,What is the scope of global variables?,they can be accessed by any C++ file anywhere.,human
326,What is the main advantage of arrays over linked lists?,"On the other hand, arrays allow random access, while linked lists allow only sequential access to elements. Singly-linked lists, in fact, can only be traversed in one direction.",human
327,What is the stack operation corresponding to the enqueue operation in queues?,Push.,human
328,What is a variable?,An object with a location in memory where value can be stored<br>,human
329,What is a linked list?,A data type that contains a pointer to at least the next  element in a list.,human
330,Briefly describe the divide-and-conquer paradigm.,"Break a problem into smaller subproblems, solve each recursively, then combine the results.",ai_generated
331,What is a pointer?,The address of a location in memory.,human
332,What is the experimental approach for measuring the running time of an algorithm?,Big O(h) notation,human
333,How many steps does it take to search a node in a binary search tree?,"At most the height of the tree, roughly log(n) if balanced.",ai_generated
334,How can you implement a queue with a list?,"Utilizing a front pointer and a back pointer.  The front poiner and back pointer points to the first item into the queue.  As you add items, the front remains the same but the back poiner 'next' points to the new item and the new item is assigned to become the 'new' back pointer.",human
335,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"All the dimensions, except the first one.",human
336,What does the address (&) operator return?,The address (&) operator returns the memory address of its operand.,human
337,What is the base case for a recursive implementation of merge sort?,A list or array of only 1 element.,human
338,What is the scope of global variables?,"The entire file in which they are declared, and any file that includes it.",ai_generated
339,What is the advantage of linked lists over arrays?,"The primary advantage of linked lists over arrays is their ability to become larger or smaller as data is added and removed from the list, whereas arrays may waste memory for small data sets, and run out of space for large data sets.",human
